,Xe,Ye
597,21.295180858177883,-13.735174890211315
598,19.276518823875428,-13.87638535589845
599,,
600,18.094490028313853,-13.902668396444792
601,18.350164262090345,-12.559470461715017
602,,
603,18.127004259992127,-22.910992878055666
604,17.855691512329496,-21.859387947036094
605,,
606,17.34127542749722,-15.06497901045202
607,18.498735789618912,-15.624249269352338
608,,
609,19.396839463400745,-12.561055595627765
610,19.654842432305472,-12.52620660413294
611,,
612,16.15891887891335,-15.358424428664565
613,16.659405427979106,-17.569202610262753
614,,
615,19.920742679706272,-11.488577360534505
616,19.396839463400745,-12.561055595627765
617,,
618,26.406892051304784,-28.873925712309653
619,25.594546764966083,-29.266890851807315
620,,
621,18.416748262208007,-13.637736506454166
622,18.257356183677114,-12.65574926981624
623,,
624,18.650387904303464,-13.734619067994231
625,18.257356183677114,-12.65574926981624
626,,
627,18.84518253622854,-12.407521242924634
628,19.396839463400745,-12.561055595627765
629,,
630,18.39901869015983,-12.496851411741673
631,18.650387904303464,-13.734619067994231
632,,
633,18.39901869015983,-12.496851411741673
634,18.544013086858214,-11.281841610312062
635,,
636,17.34127542749722,-15.06497901045202
637,17.712813378644743,-16.12392947863292
638,,
639,17.34127542749722,-15.06497901045202
640,18.321602720487533,-15.155290390836925
641,,
642,17.51567221757909,-16.50715303317545
643,16.659405427979106,-17.569202610262753
644,,
645,17.34127542749722,-15.06497901045202
646,17.855138497844464,-16.33789172658552
647,,
648,19.476648223408734,-13.80663504671718
649,21.273567383202096,-13.676163420388942
650,,
651,17.34127542749722,-15.06497901045202
652,16.246718343351613,-15.009273408169436
653,,
654,17.34127542749722,-15.06497901045202
655,17.61643617191133,-13.811476591683363
656,,
657,17.34127542749722,-15.06497901045202
658,16.37141027879938,-15.610510913511094
659,,
660,22.772999285331938,-13.819123069218048
661,21.273567383202096,-13.676163420388942
662,,
663,17.34127542749722,-15.06497901045202
664,17.66500146197842,-16.465975161326345
665,,
666,19.536526430268164,-12.632605241539505
667,18.416748262208007,-13.637736506454166
668,,
669,17.34127542749722,-15.06497901045202
670,16.15891887891335,-15.358424428664565
671,,
672,17.34127542749722,-15.06497901045202
673,17.266187034425506,-13.913264166726123
674,,
675,17.34127542749722,-15.06497901045202
676,18.12476760699433,-15.424540675777154
677,,
678,17.34127542749722,-15.06497901045202
679,17.51567221757909,-16.50715303317545
680,,
681,17.34127542749722,-15.06497901045202
682,18.060956391441565,-15.28806998867837
683,,
684,18.650387904303464,-13.734619067994231
685,18.890243703520692,-12.638651015308266
686,,
687,17.34127542749722,-15.06497901045202
688,16.90295738556605,-14.120128009936513
689,,
690,17.34127542749722,-15.06497901045202
691,18.314350190185248,-15.609431970769622
692,,
693,17.34127542749722,-15.06497901045202
694,17.096249273520836,-14.049152596557187
695,,
696,17.34127542749722,-15.06497901045202
697,18.590426953741453,-15.473901979477265
698,,
699,17.34127542749722,-15.06497901045202
700,16.54650606435834,-14.57959711951166
701,,
702,17.34127542749722,-15.06497901045202
703,16.798840892627414,-14.142751285717441
704,,
705,17.34127542749722,-15.06497901045202
706,18.412782145845682,-15.361282555256807
707,,
708,17.34127542749722,-15.06497901045202
709,18.433155908193278,-15.739536236282081
710,,
711,17.34127542749722,-15.06497901045202
712,17.747479781984392,-15.733564391396659
713,,
714,34.506753071177705,-15.624736898186661
715,34.506753071177705,-15.624736898186661
716,,
717,19.396839463400745,-12.561055595627765
718,19.488302375275236,-11.38779405045232
719,,
720,17.507290526849943,-16.57515663660588
721,17.34127542749722,-15.06497901045202
722,,
723,20.540189744526067,-13.082922048989444
724,19.476648223408734,-13.80663504671718
725,,
726,15.954351007064988,-15.474225938259083
727,14.92891335862313,-14.828545130538743
728,,
729,15.954351007064988,-15.474225938259083
730,14.92891335862313,-14.828545130538743
731,,
732,32.76194821253329,-8.58146491265045
733,33.18958780443067,-9.457281181009197
734,,
735,32.76194821253329,-8.58146491265045
736,33.18958780443067,-9.457281181009197
737,,
738,32.76194821253329,-8.58146491265045
739,33.18958780443067,-9.457281181009197
740,,
741,32.76194821253329,-8.58146491265045
742,33.18958780443067,-9.457281181009197
743,,
744,32.76194821253329,-8.58146491265045
745,33.18958780443067,-9.457281181009197
746,,
747,18.416748262208007,-13.637736506454166
748,18.683394915578468,-12.387889074381102
749,,
750,15.954351007064988,-15.474225938259083
751,14.85178845075541,-15.702009093207321
752,,
753,14.913375499226065,-15.050368911168848
754,15.954351007064988,-15.474225938259083
755,,
756,23.782250665071786,-1.2840318476707848
757,24.668967960117193,-1.571234765144046
758,,
759,23.782250665071786,-1.2840318476707848
760,22.879323267234366,-1.0524093760448845
761,,
762,20.77686907191653,-11.733407891117134
763,19.654842432305472,-12.52620660413294
764,,
765,18.224303132863444,-18.97504159848836
766,18.47657265173948,-17.808586479062146
767,,
768,21.4340516499326,-12.361513619306074
769,19.748894420065714,-12.803725888242628
770,,
771,19.748894420065714,-12.803725888242628
772,18.650387904303464,-13.734619067994231
773,,
774,18.650387904303464,-13.734619067994231
775,20.0516116524555,-12.946953998093946
776,,
777,18.416748262208007,-13.637736506454166
778,18.96499407678514,-12.452559499248977
779,,
780,15.615379799799152,-13.399469916702154
781,16.26808022178089,-14.578704373616725
782,,
783,18.416748262208007,-13.637736506454166
784,18.129878966128416,-12.448951956996952
785,,
786,16.224568389143112,-16.851924749822047
787,15.833233769281206,-18.26575057894597
788,,
789,16.659405427979106,-17.569202610262753
790,18.2603810269769,-17.637712722708674
791,,
792,18.650387904303464,-13.734619067994231
